,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
933,Munna Bhai M.B.B.S.,2003,8.1,,80514,,156
934,Beauty and the Beast,1946,7.9,92.0,26290,0.3,93
935,Le Dîner de Cons,1998,7.6,73.0,41204,4.07,80
936,Talvar,2015,8.1,,34796,0.34,132
937,Raatchasan,2018,8.3,,39577,,170
938,The Muppet Christmas Carol,1992,7.7,64.0,57622,27.28,85
939,Raise the Red Lantern,1991,8.1,,32306,2.6,125
940,The Magdalene Sisters,2002,7.7,83.0,27153,4.89,114
941,Time of the Gypsies,1988,8.1,,30485,0.28,142
942,Sherlock Jr.,1924,8.2,,48737,0.98,45
943,Love and Death,1975,7.7,89.0,38309,,85
944,C.R.A.Z.Y.,2005,7.9,81.0,32761,,129
945,Barfi!,2012,8.1,,80896,2.8,151
946,Udta Punjab,2016,7.7,,30112,,148
947,Knockin' on Heaven's Door,1997,7.9,,30138,0.0,87
948,Udaan,2010,8.1,,44781,0.01,134
949,Bajrangi Bhaijaan,2015,8.1,,85287,8.18,163
950,Dilwale Dulhania Le Jayenge,1995,8.0,,68406,,181
951,Hindi Medium,2017,7.8,,28132,,132
952,The Grand Illusion,1937,8.1,,36357,0.17,113
953,Sullivan's Travels,1941,7.9,,26132,,90
954,Color It Yellow,2006,8.1,,118238,2.2,167
955,Elite Squad 2: The Enemy Within,2010,8.0,71.0,82565,0.1,115
956,Soorarai Pottru,2020,8.7,,110420,,153
957,Joyeux Noel,2005,7.7,70.0,29689,1.05,116
958,Chhichhore,2019,8.2,,50284,0.9,143
959,Sanjuro,1962,8.0,,37819,,96
960,Jean de Florette,1986,8.1,,25664,4.94,120
961,Fireworks,1997,7.7,,30351,0.23,103
962,Zelig,1983,7.7,,41890,11.8,79
963,"Rome, Open City",1945,8.0,,26292,,103
964,Drishyam,2013,8.3,,40454,,160
965,Central Station,1998,8.0,80.0,39312,5.6,110
966,A Wednesday,2008,8.1,,78036,,104
967,Dev.D,2009,7.9,,30473,0.01,144
968,Tae Guk Gi: The Brotherhood of War,2004,8.0,64.0,39548,1.11,140
969,Drishyam 2,2021,8.4,,34977,,152
970,The Rules of the Game,1939,7.9,,28781,,110
971,96,2018,8.4,,28743,,158
972,Swades,2004,8.1,,89247,1.22,189
973,Asuran,2019,8.5,,26519,,141
974,Super 30,2019,7.9,,30180,2.27,154
975,A Night at the Opera,1935,7.8,,32706,2.54,96
976,The Edge of Heaven,2007,7.7,85.0,31999,0.74,122
977,Veer Zaara,2004,7.8,67.0,52365,2.92,192
978,Everything's Gonna Be Great,1998,8.1,,25285,,107
979,Airlift,2016,7.9,,56527,,130
980,Paan Singh Tomar,2012,8.2,,35989,0.04,135
981,OMG: Oh My God!,2012,8.1,,57674,0.92,125
982,Badhaai Ho,2018,8.0,,33650,,124
983,The Circus,1928,8.1,90.0,33403,,72
984,Sholay,1975,8.1,,55101,,162
985,Vicky Donor,2012,7.8,,42918,0.17,126
986,Kahaani,2012,8.1,,62336,1.04,122
987,The Bandit,1996,8.1,,69625,,128
988,English Vinglish,2012,7.8,,36045,1.67,134
989,Let's Go! India,2007,8.1,68.0,79276,1.11,153
990,Bhaag Milkha Bhaag,2013,8.2,,66937,1.63,186
991,Vizontele,2001,8.0,,36438,,110
992,Black,2005,8.1,,34784,0.73,122
993,Special 26,2013,8.0,,55645,1.08,144
994,Sarfarosh,1999,8.1,,25523,,174
995,The Breath,2009,7.9,,33532,,128
996,"Carry On, Munna Bhai",2006,8.0,,46552,2.22,144
997,Baby,2015,7.9,,57078,,159
998,Anand,1971,8.1,,33536,,122
999,Andaz Apna Apna,1994,8.0,,52913,,160
