,movie,year,imdb,metascore,votes,us_grossMillions,timeMin
135,American History X,1998,8.5,62.0,1098334,6.72,119
136,Her,2013,8.0,91.0,594383,25.57,126
137,Braveheart,1995,8.4,68.0,1018564,75.6,178
138,Star Trek,2009,7.9,82.0,598668,257.73,127
139,Guardians of the Galaxy Vol. 2,2017,7.6,67.0,653050,389.81,136
140,Harry Potter and the Deathly Hallows: Part 2,2011,8.1,85.0,848442,381.01,130
141,The Godfather: Part III,1990,7.6,60.0,388361,66.67,162
142,The Big Lebowski,1998,8.1,71.0,792132,17.5,117
143,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,85.0,945224,248.16,115
144,Baby Driver,2017,7.6,86.0,514263,107.83,113
145,Black Swan,2010,8.0,79.0,747655,106.95,108
146,Donnie Darko,2001,8.0,88.0,785377,1.48,113
147,Moana,2016,7.6,81.0,322129,248.76,107
148,The Big Short,2015,7.8,81.0,417123,70.26,130
149,A Clockwork Orange,1971,8.3,77.0,811491,6.21,136
150,Star Wars: Episode VII - The Force Awakens,2015,7.8,80.0,911118,936.66,138
151,300,2006,7.6,52.0,804401,210.61,117
152,The Last Samurai,2003,7.8,55.0,431133,111.11,154
153,The Terminator,1984,8.1,84.0,843928,38.4,107
154,Wind River,2017,7.7,73.0,244143,33.8,107
155,Catch Me If You Can,2002,8.1,75.0,941884,164.62,141
156,Aliens,1986,8.4,84.0,700898,85.16,137
157,The Social Network,2010,7.8,95.0,684634,96.96,120
158,Marriage Story,2019,7.9,94.0,295676,2.0,137
159,Bohemian Rhapsody,2018,7.9,49.0,518485,216.43,134
160,Blue Is the Warmest Colour,2013,7.7,89.0,149765,2.2,180
161,Memento,2000,8.4,80.0,1209339,25.54,113
162,Nightcrawler,2014,7.8,76.0,525932,32.38,117
163,Kill Bill: Vol. 1,2003,8.2,69.0,1086387,70.1,111
164,Captain America: Civil War,2016,7.8,75.0,756909,408.08,147
165,Ferris Bueller's Day Off,1986,7.8,61.0,349068,70.14,103
166,Spirited Away,2001,8.6,96.0,734624,10.06,125
167,Apocalypto,2006,7.8,68.0,308479,50.87,139
168,Boogie Nights,1997,7.9,85.0,260154,26.4,155
169,One Flew Over the Cuckoo's Nest,1975,8.7,84.0,985313,112.0,133
170,E.T. the Extra-Terrestrial,1982,7.9,91.0,399469,435.11,115
171,Hamilton,2020,8.4,90.0,87849,,160
172,Arrival,2016,7.9,81.0,671446,100.55,116
173,There Will Be Blood,2007,8.2,93.0,571163,40.22,158
174,The Hobbit: An Unexpected Journey,2012,7.8,58.0,805092,303.0,169
175,Trainspotting,1996,8.1,83.0,675064,16.5,93
176,Evil Dead II,1987,7.7,72.0,161238,5.92,84
177,Almost Famous,2000,7.9,90.0,272592,32.53,122
178,Reservoir Dogs,1992,8.3,79.0,992428,2.83,99
179,Snatch,2000,8.3,55.0,838123,30.33,102
180,Stardust,2007,7.6,66.0,269732,38.63,127
181,The Girl with the Dragon Tattoo,2011,7.8,71.0,456247,102.52,158
182,The Grand Budapest Hotel,2014,8.1,88.0,782859,59.1,99
183,What We Do in the Shadows,2014,7.6,76.0,178784,3.33,86
184,Zootopia,2016,8.0,78.0,483185,341.27,108
185,The Hunt,2012,8.3,77.0,320567,0.69,115
186,The Sixth Sense,1999,8.2,64.0,970764,293.51,107
187,Green Book,2018,8.2,69.0,466071,85.08,130
188,True Romance,1993,7.9,59.0,223538,12.28,119
189,Ocean's Eleven,2001,7.7,74.0,559554,183.42,116
190,Unforgiven,1992,8.2,85.0,404837,101.16,130
191,Hidden Figures,2016,7.8,74.0,223239,169.61,127
192,Donnie Brasco,1997,7.7,76.0,301717,41.91,127
193,Dead Poets Society,1989,8.1,79.0,473568,95.86,128
194,City of God,2002,8.6,79.0,742439,7.56,130
195,Ratatouille,2007,8.1,96.0,706205,206.45,111
196,Willy Wonka & the Chocolate Factory,1971,7.8,67.0,197063,4.0,100
197,Come and See,1985,8.4,,75407,,142
198,Superbad,2007,7.6,76.0,564400,121.46,113
199,Into the Wild,2007,8.1,73.0,613142,18.35,148
200,The Revenant,2015,8.0,76.0,779918,183.64,156
201,Watchmen,2009,7.6,56.0,542390,107.51,162
202,Moneyball,2011,7.6,87.0,412092,75.61,133
203,The Exorcist,1973,8.1,81.0,393374,232.91,122
204,The Hangover,2009,7.7,73.0,768715,277.32,100
205,Zodiac,2007,7.7,78.0,525586,33.08,157
206,Mulholland Drive,2001,7.9,85.0,348587,7.22,147
207,Shrek,2001,7.9,84.0,660988,267.67,90
208,The Hateful Eight,2015,7.8,68.0,580175,54.12,168
209,When Harry Met Sally...,1989,7.7,76.0,214329,92.82,95
210,"The Good, the Bad and the Ugly",1966,8.8,90.0,744223,6.1,178
211,The Perks of Being a Wallflower,2012,8.0,67.0,499390,17.74,103
212,Atonement,2007,7.8,85.0,273032,50.93,123
213,L.A. Confidential,1997,8.2,90.0,572719,64.62,138
214,Papillon,1973,8.0,58.0,129319,53.27,151
215,The Sandlot,1993,7.8,55.0,89403,32.42,101
216,The Fly,1986,7.6,79.0,177082,40.46,96
217,The Thing,1982,8.2,57.0,410501,13.78,109
218,The Sound of Music,1965,8.1,63.0,227375,163.21,172
219,Toy Story,1995,8.3,95.0,965904,191.8,81
220,La La Land,2016,8.0,94.0,566742,151.1,128
221,The Help,2011,8.1,62.0,450803,169.71,146
222,The Fugitive,1993,7.8,87.0,289474,183.88,130
223,Fargo,1996,8.1,85.0,665129,24.61,98
224,The Pianist,2002,8.5,85.0,807088,32.57,150
225,Home Alone,1990,7.7,63.0,553591,285.76,103
226,2001: A Space Odyssey,1968,8.3,84.0,653041,56.95,149
227,The Lord of the Rings: The Two Towers,2002,8.8,87.0,1609145,342.55,179
228,Harry Potter and the Prisoner of Azkaban,2004,7.9,82.0,615921,249.36,142
229,Room,2015,8.1,86.0,410424,14.68,118
230,Magnolia,1999,8.0,77.0,308408,22.46,188
231,Sin City,2005,8.0,74.0,761051,74.1,124
232,The Martian,2015,8.0,80.0,830094,228.43,144
233,Psycho,1960,8.5,97.0,654678,32.0,109
234,RoboCop,1987,7.6,70.0,253242,53.42,102
235,Captain America: The Winter Soldier,2014,7.8,70.0,818998,259.77,136
236,Predator,1987,7.8,45.0,400866,59.74,107
237,Dances with Wolves,1990,8.0,72.0,260933,184.21,181
238,Your Name.,2016,8.4,79.0,252035,5.02,106
239,Black Hawk Down,2001,7.7,74.0,389712,108.64,144
240,Coco,2017,8.4,81.0,479419,209.73,105
241,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,65.0,532806,295.98,146
242,Amélie,2001,8.3,69.0,744521,33.23,122
243,12 Monkeys,1995,8.0,74.0,609463,57.14,129
244,Life Is Beautiful,1997,8.6,59.0,677983,57.6,116
245,Warrior,2011,8.2,71.0,464304,13.66,140
246,"Three Billboards Outside Ebbing, Missouri",2017,8.1,88.0,491391,54.51,115
247,Rain Man,1988,8.0,65.0,504520,178.8,133
248,In Bruges,2008,7.9,67.0,414776,7.76,107
249,The Wizard of Oz,1939,8.1,92.0,390923,2.08,102
250,Howl's Moving Castle,2004,8.2,80.0,380687,4.71,119
251,Pan's Labyrinth,2006,8.2,98.0,657412,37.63,118
252,The Intouchables,2011,8.5,57.0,833716,13.18,112
